Price,Cities,departure_time,arrival_time,Airline,Cabin,Dept_city,Dept_date,arrival_city,stops,duration_time,duration,weekday,dept_hours,Dept_flights_time,optimal_hours
13300,"Chennai to Amritsar , 11 May",14:10,11:25,Spicejet,PE,Chennai,11,Amritsar ,1,-1 days +21:15:00,1275.0,1,14,Afternoon_flight,19
5853,"Kolkata to New Delhi , 11 May",15:20,17:45,Vistara,PE,Kolkata,11,New Delhi ,0,0 days 02:25:00,145.0,1,15,Afternoon_flight,20
5902,"Kolkata to New Delhi , 11 May",14:15,19:35,Spicejet,PE,Kolkata,11,New Delhi ,1,0 days 05:20:00,320.0,1,14,Afternoon_flight,19
5902,"Kolkata to New Delhi , 11 May",06:50,14:10,Spicejet,PE,Kolkata,11,New Delhi ,1,0 days 07:20:00,440.0,1,6,Morning_flight,11
8526,"Kolkata to Mumbai , 11 May",15:20,15:00,Vistara,PE,Kolkata,11,Mumbai ,1,-1 days +23:40:00,1420.0,1,15,Afternoon_flight,20
7460,"Kolkata to Mumbai , 11 May",21:30,21:05,Spicejet,PE,Kolkata,11,Mumbai ,1,-1 days +23:35:00,1415.0,1,21,Night_flight,2
6126,"Kolkata to Bengaluru , 11 May",06:55,09:40,Spicejet,PE,Kolkata,11,Bengaluru ,0,0 days 02:45:00,165.0,1,6,Morning_flight,11
6126,"Kolkata to Bengaluru , 11 May",21:30,00:20,Spicejet,PE,Kolkata,11,Bengaluru ,0,-1 days +02:50:00,170.0,1,21,Night_flight,2
5900,"Kolkata to Chennai , 11 May",21:30,23:05,Spicejet,PE,Kolkata,11,Chennai ,1,0 days 01:35:00,95.0,1,21,Night_flight,2
8633,"Kolkata to Goa , 11 May",21:30,11:05,Spicejet,PE,Kolkata,11,Goa ,1,-1 days +13:35:00,815.0,1,21,Night_flight,2
10972,"Kolkata to Guwahati , 11 May",06:25,15:25,Spicejet,PE,Kolkata,11,Guwahati ,1,0 days 09:00:00,540.0,1,6,Morning_flight,11
9090,"Kolkata to Thiruvananthapuram , 11 May",06:55,14:45,Spicejet,PE,Kolkata,11,Thiruvananthapuram ,1,0 days 07:50:00,470.0,1,6,Morning_flight,11
5023,"Kolkata to Bagdogra , 11 May",06:50,08:25,Spicejet,PE,Kolkata,11,Bagdogra ,0,0 days 01:35:00,95.0,1,6,Morning_flight,11
8142,"Kolkata to Srinagar , 11 May",15:20,12:05,Vistara,PE,Kolkata,11,Srinagar ,1,-1 days +20:45:00,1245.0,1,15,Afternoon_flight,20
7378,"Kolkata to Srinagar , 11 May",22:00,08:10,Spicejet,PE,Kolkata,11,Srinagar ,1,-1 days +10:10:00,610.0,1,22,Night_flight,3
7579,"Kolkata to Amritsar , 11 May",15:20,14:50,Vistara,PE,Kolkata,11,Amritsar ,1,-1 days +23:30:00,1410.0,1,15,Afternoon_flight,20
9940,"Kolkata to Amritsar , 11 May",22:00,18:45,Spicejet,PE,Kolkata,11,Amritsar ,1,-1 days +20:45:00,1245.0,1,22,Night_flight,3
5820,"Kolkata to Mangalore , 11 May",21:30,08:05,Spicejet,PE,Kolkata,11,Mangalore ,1,-1 days +10:35:00,635.0,1,21,Night_flight,2
